original_text,processed_text
Amin amin otak Luk belm juga waras waras fitnah orang trus bagus siap kan diri untuk masuk neraka,otak luk belm sehat sehat fitnah orang trus bagus masuk neraka
😂😂😂😂kamu manusia termunafik seIndonesia Iblis,kamu manusia munafik indonesia iblis
"Sengkuni... Jika sengkuni amin rais tewas dikemudian hari, dan berani bersaksi atas keburukan dan fitnah2an yang dia lakukan. Berikan jempolmu kawan..",licik licik tewas kemudi berani saksi keburukan fitnah dia laku jempol kawan
Min mamin.<br>Ingat usia,min mamin usia
Pk jokowi presiden terbaik mbah semgkuni,presiden baik kakek semgkuni
"Mbah, mbah dh tua bukanya mendekatkan diri sm yg maha kuasa kok malah jd sengkuni yg suka provokasi, menghina sesama. Katanya mo jln kaki pakai teklek sampai jakarta, mana janjimu mbahhh",kakek kakek dh tua buka dekat maha kuasa licik suka provokasi menghina mo jln kaki pakai teklek jakarta janji kakek
Dan manusia lansia dengan otak tolol dan nurani paling busuk.....adalah amin rais,manusia lansia otak tolol nurani busuk
"Hebat Amin Rais,, menghibur,, tepat sasaran",hebat hibur sasar
Cocot kencono..,cocot kencono
Lebih buruk kakang plosojenar ( Mbah Rais),buruk kakang plosojenar kakek
Gelandangan ploitik,gelandangan ploitik
Buruk itu kan yang ngomong kamu bagi rakyat yang normal Jokowi presiden paling sukses soalnya hatimu penuh kebencian. Dasar Sengkuni.,buruk itu ngomong kamu rakyat normal presiden sukses hati penuh benci dasar licik
ORANG TUA YANG PENUH DOSA INI PUNYA POLA PIKIR TERBALIK... YANG BAIK DIKATAKAN BURUK DAN YANG BURUK DIKATAKAN BAIK... ITULAH IBLIS.,orang tua penuh dosa ini pola pikir balik buruk buruk iblis
Tobat lah kau amin dah maumatipun masih mempetnah orang aja,taubat kau maumatipun mempetnah orang aja
"Kok masih gk sadar, dengan diri sendiri,,",sadar
"Ini baru calon pemimpin tapi bukan  untuk rakyat,  terus tuk siapa",ini calon pimpin rakyat tuk
Pengemis lg komen .. dia prestasinya apa ya...wkwkwkwk...ngemis aja banyak omong...,pengemis komen dia prestasi ya wkwkwkwk ngemis aja omong
"Sudah bau tanah,mulutnya blm tobat juga si tua bangka amin rasis ini,,naudzubillah",bau tanah mulut taubat si tua bangka ras ini naudzubilah
Amin Rais orang yang tolol dan dunggu itu fakta dan data nya dan GK laku Dimata rakyat si amin anjing,orang tolol dungu itu fakta data nya laku mata rakyat si anjing
"Terburuk tapi presiden, amin apa pernah jadi presiden",terburuk presiden presiden
Kau yg terburuk amin rais omonganmu seoerti saytan penghasit tu tua kok omongannya nggak benar,kau terburuk omong seoerti saytan penghasit itu tua omong
"Kapolri tangkap segera Amin Rais yg sdh menghina, mefitnah, menyerang, merendahkan,menyebarkan kebencian dan hoax",kapolri tangkap menghina mefitnah menyerang merendahkan sebar benci hoax
Amin bukannya insaf malah tambh hilang akal,insaf tambh hilang akal
Sengkuni!!!,licik
Yang toxic antum..,toxic antum
"Orang sudah pikun kok disuruh pidato. Ngomongnya SDH TDK ada Toto kromo sama sekali. Dasar SENGKUNI,",orang lupa suruh pidato ngomongnya toto kromo sekali dasar licik
Iblis berujut manusia siapa itu jawabnya Mat Rais,iblis berujut manusia itu mat
"Kamu Min,org tua bodoh,provokator,dobol.Kl msh sholat,kamu bicaranya ga penuh kebencian. Ilmu agamamu sdh hilang po Mien n skrg jd Iblis.",kamu min orang tua bodoh provokator dobol kl sholat kamu bicara penuh benci ilmu agama hilang po mien skrg iblis
"Nafasnya mbh rais tersengal sengal ky sakaratul maut,dh bau tanah gk tobat&quot;",nafas kakek sengal sengal ky sakaratul maut dh bau tanah taubat kutip
Kaya tokoh pewayangan inimah,kaya tokoh wayang inimah
"Orang udah tua kok ngga memberikan contoh baik, kok malah jadi setan begini ya ?",orang udah tua contoh setan ya
"Garek matine , kakean omong",garek matine kakean omong
"Masih ingat, ketika Gus Dur lengser, aki aki Amin Rais lah yg menjadi dalang utama di balik lengsernya presiden Gus Dur,,,,,!!!!<br><br>intinya sekarang anda hanyalah sampah politik yg bisanya cuma koar koar",lengser kakek kakek dalang utama lengser presiden inti sampah politik bisa koar koar
Walaupun orng tdk bisa bekerja tp tdk juga bicara atu merendahkan &amp; menghina orng di depan umum islam tdk mengajarkan menghina merendahkan orng sekalipun ke musuhny naudzubillah ini amin rais tdk paham agama islan tdk tau adab,orng bicara atu merendahkan menghina orng ajar menghina merendahkan orng musuhny naudzubilah ini paham agama islan adab
Yang terburuk bahkan terburuk adl dirimu min Amin Rais....,terburuk terburuk adl kamu min
Semoga kakek ini cepat masuk baju Shopee 😂,moga kakek ini cepat masuk baju shope
Lu yg terburuk amin manusia percobaan lu ga disukai rakyat Indonesia kmu rais amin lutuh manusia percobaan yg ga punya adab sia monyet yg planga plongo,kamu terburuk manusia coban kamu suka rakyat indonesia kamu lutuh manusia coban adab sia monyet planga bingung
Hai bebengok rais amin sinau tanah ulu udah tinggal modarnya gamau insap kmu org biadab lutuh udah tinggal modarnya anjing,hai bebengok sinau tanah ulu udah tinggal modar gamau insap kamu orang biadab lutuh udah tinggal modar anjing
Ngomong tok Sengkuni ki krng ajar,ngomong tok licik ini krng ajar
Mbah AMIN koclok bin anjing amin .,kakek koclok anjing
"Kamu ini anggota apa min min,bener memang KLO di kata politik glandangan,ada pelantikan gak di undang aja dattang sendiri dan tak ada yang menyapa apa gak malu itu min min",kamu ini anggota min min politik gelandangan lantik undang aja sapa malu itu min min
Sengkuni 😅😅,licik
Sama kamu ketua MRP yg mengguna<br>Kan jabatan otoriter maksulkan Gus Dur dari jabatan x.pada hal anda sendirilah meminta x jadi presiden...<br>Bukan kah itu menghina Gus Dur..dan<br> Ingin di jadikan batu loncatan untuk<br>Menggapai jabatan dgn jln TDK halal.😅😅😅,kamu ketua mrp menguna jabat otoriter maksulkan jabat x sendiri x presiden kah itu menghina jadi batu loncat kapai jabat jln halal
Amin rais. Manusia bermoral terburuk yg dimiliki Indonesia.,manusia moral terburuk milik indonesia
Segera pakai baju Baru Oren,pakai baju oren
"Orang yg berilmu n beragama tdk akan keluar kata² toxic sep itu, apalagi dia sdh sepuh...jadi siapa yg toxic disini",orang beril agama toxic sep itu dia tua toxic
Cocote rusak,cocote rusak
Jika orang yang tak di senangi selalu di cemooh lalu gmn dia sendiri dng keluarganya coba di koreksi apa patut di buat suri tauladan oleh di sekitar masyarakat,orang senang cemoh gmn dia dng keluarga coba koreksi patut suri tauladan masyarakat
SDH mau mampus rais.. seperti setan jin kelakuannya.. inilah setan badan manusia yg sesungguhnya,mampus setan jin laku ini setan badan manusia sungguh
Ke habisan obat lagi ni si amin dah mulai kambuh lagi dah mulai ngelantur,habis obat ini si kambuh ngelantur
sudah tua .... mulutnya kotor... 😂,tua mulut kotor
Ente yang tengngilmah bah..<br>Cicing w ATH ges kolot mah..,ente tengngilmah bah cicing w ath ges kolot mah
Tak sadar diri udah tua masih aja menghina org,sadar udah tua aja menghina orang
"Uda tua min, sadar !",tua min sadar
Sengkuni blm game over juga dari muka bumi ini,licik game over muka bumi ini
Terburuk matamu itu,terburuk mata itu
Amin Rais manusia terburuk yg perna ada dan masih hidup di Indonesia... <br>Dan tetap belooh...on,manusia terburuk perna hidup indonesia beloh on
Sudah bauh tanah masih saja buat dosa ini manusia,bauh tanah dosa ini manusia
Nadarmu dilaksanakan dulu mbah..jalan kaki engklek dari jogya ke jakarta....baru ngomong lainya...,nadarmu laksana kakek jalan kaki engklek jogya jakarta ngomong lai
Kamu lebih buruk mulut mu bau busuk,kamu buruk mulut kamu bau busuk
Cocot2 soac dasar seng kuni,cocot soac dasar kuni
Amin rakus wes bener bener EDAN,serakah gila
Setuju adili Jokowi turunkan Gibran,tuju adil turun gibran
Kayak si cewek,kayak si cewek
Asu sek urip ae wedus,anjing sek urip aja wedus
Ini di RSJ mana ?,ini rsj
😂😂😂 memang marah sekali dia sama Jokowi 😂😂😂 Amin jadi gelandangan politik 😂😂😂,marah sekali dia gelandangan politik
seng pinter sampean yo ra di pilih rakyatnya,pintar kamu iya pilih rakyat
Emang kamu ga menghina,emang kamu menghina
"Amin amin,sampai tua kerjaan menghina orang",tua kerja menghina orang
Amin Rais itu adalah orang indonesia yg terburuk,itu orang indonesia terburuk
Ngaca dulu baru ngomong,kaca ngomong
Yg terburuk itu kamu Amin Rais 🤮,terburuk itu kamu
Indonesia ini sudah hancur  mending merdeka sendiri sendiri klo negara GK bisa tangkap amin rais ini .,indonesia ini hancur mending merdeka negara tangkap ini
"Sudah tua seharusnya mempersiapkan diri menghadap Tuhan, bukan mengotori hati,, aduuh sadar pa",tua hadap tuhan kotor hati aduh sadar
Kelihatan sekali editan nya kasar.  Aslinya bukan Amin .,sekali edit nya kasar asli
Kog gk di masukan bui sekalian aja tu orang,kog masuk bui aja itu orang
"Pak Amin Rais baca ayat alquran yg mangatakan :Jangan kamu menjelek2an orang lain, boleh jadi kamu lebih jelek dari orang itu sendiri, kita ulama besar tapi mulut busuk",baca ayat alquran mangatakan kamu jelek orang kamu jelek orang itu ulama mulut busuk
mukanya saja mirip syeton,muka syeton
Sakno wong muhammadiyah,sakno orang muhammadiyah
Kakek sdh tua menunggu waktu sudah mau masuk ke Liang lahat  bicaranya sembarangan,kakek tua tunggu masuk liang lahat bicara sembarang
"<b>****CAMKEMMU MIM SOKOR MANGAP WAE, MINUM OBAT DULU MIN AMIN HAHAHAHA****</b>",b camkemu mim sokor mangap minum obat min hahahaha b
Amin Rais gelandangan pantat bau politik,gelandangan pantat bau politik
Makanya amin rais tidak terpilih jadi presiden karena manusia terburuk,pilih presiden manusia terburuk
"Ketua Partai yg buruk,bodoh,tolol,stresss ., amin",ketua partai buruk bodoh tolol stres
Amin rais goblok,goblok
Kamu mnilai org seenak jidatnya skrg q mnilai km sbg mantan ketua MPR yg di duga pling bodoh n g pnya etika n adab,kamu mnilai orang senak jidat skrg q mnilai kamu sbg mantan ketua duga pling bodoh pnya etika adab
"Omong orang, bodok lalu apa kau pak amin",omong orang bodok kau
Mbah yg paling jelek kelakuanmu,kakek jelek laku
Orang gemblung ya gini... 😂,orang gemblung ya
Kalau di lihat agamanya ada tapi aklaknya senang kebencian adu domba hobinya,lihat agama aklaknya senang benci adu domba hobi
sukanya buat onar dari dulu,suka onar
Lucuu,lucu
Amin rais orang gila orang stress termasuk para pengikutnya 😂😂😂,orang gila orang stres ikut
Sudah Pikun .... kata orang Melayu ... Nyanyok ...,lupa orang melayu nyanyok
Percaya pak amin,percaya
Amin sengkuni gelandangan politik,licik gelandangan politik
Wong edan..,orang gila
"Kakek Tua bebek lumpuh, terima kasih Gus Dur sdh meramal si bebek lumpuh ini akan menjadi gelandangan politik, dan sekarang sudah terbukti 😂😂",kakek tua bebek lumpuh terima kasih ramal si bebek lumpuh ini gelandangan politik bukti
"Astaghfirullah... sampeyan ulama, Pak Amin...",astaghfirullah sampeyan ulama
Mbah ingat sama umur...,kakek umur
Tua Bangka tak tahu diri,tua bangka
"Udah tua masih saja bacot,,,,",udah tua bacot
Sengkuni kumat sengkuni kumat ed.....e😅😅😅,licik kumat licik kumat ed
GELANDANGAN POLITIK INI PENDUSTA,gelandangan politik ini dusta
Mbah min...Mbah min..sudahlah masyarakat NKRI sdh tdk LG yg mau denger omongan sampeyan.,kakek min kakek min masyarakat nkri denger omong sampeyan
Min min wes pikun kowe Ki titel mu profesor tapi goblok,min min lupa kamu ini titel kamu profesor goblok
Amin Rais mulut nya kaya comberan,mulut nya kaya comberan
Kapolri mn... Ini manusia harus di penjarakan.... Biar kapok,kapolri mn ini manusia penjara biar kapok
"Kakek calon neraka,hanya dengki dlm hatimu tak ada keimanan,Masya allah",kakek calon neraka dengki dlm hati iman masya
Mbah ws tuwek buat dosa terus,kakek ws tua dosa
Stress,stres
Kalo terjelek gk akan 2 periode😂😂😂,terjelek periode
Matine koe ki koli di leboni lahar kro malaikat..ws mambu lemah kok heboh..sengkuni indonesia,matine kamu ini koli leboni lahar kro malaikat ws mambu lemah heboh licik indonesia
Yg tengil kamu mbah,menyebalkan kamu kakek
Amin rais sdh pikun 😂😂,lupa
Omdo,omdo
"Si tua bangka Amin Rais ini harus dimasukkan ke sekolah barak KDM. Jika tidak mau, maka si Tua ini akan menyusul Roy Panci ke penjara",si tua bangka ini masuk sekolah barak kdm si tua ini susul roy panci penjara
"Kalau dah gini jadi kangen masa masa pak harto , ada repelita, ada pelita, ada guidence nya, sehingga pembangunan terarah dan most of all good lah.",kangen harto repelita pelita guidence nya bangun arah most of al god
Sampah lu min !,sampah kamu min
Amin rakus kapan kmu kena karma,serakah kamu kena karma
Uda tua....pak...inget bpk da bau tanah...,tua da bau tanah
<b>SAYA YO NDAK TAUUU</b>,b iya ndak b
Anda jg Mbah Amin adalah ketua MPR terburuk waktu anda menjabat.Memalukan .Anda sendiri kaya sekuni.,kakek ketua terburuk jabat memalukan kaya sekuni
"Manusia tak tahu diri.hidup ngungsi,pingin berkuasa dipengungsian.apa daya,mulut busuk hati busuk.penggemarnya lebih busuk dan seburuk buruknya manusia",manusia hidup ngungsi pingin kuasa ungsi daya mulut busuk hati busuk mar busuk buruk buruk manusia
Mantap..,mantap
Amin rais sampah...,sampah
Apa gak ingat mati ya ini orang.? Masih mengejar duniawi saja..istigfar kake😂,mati ya ini orang kejar duniawi kake
"Congormu bosok amin asu,lambe asu keturunan babi ngepet.",congor bosok anjing lambe anjing turun babi ngepet
Mendingan urus diri kau Min sudah tua bangke. Apa yang sudah kau berikan ke NKRI ini. kau hanya bikin kisru aja di negeri ini.,mending urus kau min tua bangke kau nkri ini kau bikin kisru aja negeri ini
Amiin gila klp hti takbir2di jalan jd gelandangan kirik2,gila klp hti takbirdi jalan gelandangan kirik
Amin raib nek Iki udu rais.,raib nek ini udu
Amin rais kepintaran kamu bisanya ghibah terus,pintar kamu bisa ghibah
Apakah amiin rais yang terbaik se Indonesia,baik indonesia
Orang dak berguna. Ngomongnya kaya anjing menggonggong.,orang dak guna ngomongnya kaya anjing gonggong
Coba kalau ketemu dijalan saya tempeleng Amin Rais ini,coba ketemu jalan tempeleng ini
MARI KITA DOA KAN SEMOGA EMBAH AMIN RAIS INSYAF...SEBELUM...DI JEMPUT...MALAIKAT...PENCABUT...NYAWA...KASIHAN...SUDAH..TUA...BELUM SADAR...😂,mari doa moga embah insyaf jemput malaikat cabut nyawa kasihan tua sadar
"Sesungguhnya orang-orang yg meremehkan dan merendahkan orang lain, dialah sesungguhnya yg akan direndahkan. <br>Karena rasulpun mengajarkan Hisablah dirimu sebelum kau menghisab orang lain",sungguh orang orang remeh merendahkan orang sungguh rendah rasul ajar hisab kamu kau hisab orang
"Gkusah mbacot mcm2, janji jalan kaki Jogja Jakarta klo perlu sambil engklek dijalani dulu !!!",gkusah mbacot mcm janji jalan kaki jogja jakarta engklek jalan
ENDHASMU ASU RAIS BAJINGAN SENGKUNI KERAK NERAKA TEMPATMU SU ASU !!!!😂😂😂😂🎉🎉,endhasmu anjing bajing licik kerak neraka tempat su anjing
"Hehehe kasian pak amin Rais ini g bisa jd presiden bisanya menghina tok, bener sekali omongan Gus dur",hehehe kasi ini presiden bisa menghina tok sekali omong
Malu saya nonton tayangan ini...orang yang sudah sepuh tetapi jauh dari kata bijak.,malu nonton tayang ini orang tua bijak
SENGKUNI,licik
Terburuk menurut org2 dungu....,terburuk orang dungu
Sangat jahat orang ini..ga inget umurnya tinggal berapa tahun lagi..seharusnya inget berbuat baik lah..ahkaknya di pake..seperti odgj<br>Ini orang harus di tangkap..jangan dinkasih kesempatan lagi pak polisi,sangat jahat orang ini umur tinggal buat ahkaknya pake gila ini orang tangkap dinkasih sempat polisi
wahhh...kerennnnnn.....kapan mati Mbah......,keren mati kakek
AMIN RAIS ITU ODGJ TERBURUK TERKOPLAK KOPLO OTAK NYA DI NKRI,itu gila terburuk terkoplak koplo otak nya nkri
Udah tua inget mati Mbah bukannya menghina orang terus susah mati tau rasa,udah tua mati kakek menghina orang susah mati
"Kedeng dei ge modar ie jelema lamun te struk dorna tukang hasut si mata belo mata orang licik,musuh gusdur si penipu tukang fitnah",kedeng dei ge tinggal ie jelema lamun te struk dorna tukang hasut si mata belo mata orang licik musuh si tipu tukang fitnah
Terdungu,dungu
"Licik, tikus tua",licik tikus tua
"Amin rais, kau  lah  manusia terburuk di Indonesia. Bukan Pak Jokowi.",kau manusia terburuk indonesia
Preepreeèeet,prepre et
Aku bersaksi Amiin rais adalah orang tua yg terjahat dengan mulutnya yg bentar lagi koit,aku saksi orang tua terjahat mulut bentar koit
Aminpret,aminpret
Amin rais.bapa pengemis politik,bapa pengemis politik
Toban wes tua min,toban tua min
aki&quot; idiot....,kakek kutip idiot
Padahal orang ini mantan petinggi muhammadiyah lo...,orang ini mantan tingi muhammadiyah kamu
mBah Amin... Sebagai orang berAgama.... Apakah boleh menghina sesama umat seperti itu.?  Apakah untuk memuaskan Nafsu kebencian Mu. ?? 😢,kakek orang agama menghina umat itu muas nafsu benci kamu
Amin Rais adalah PENIPU,tipu
"P. Jokowi Presiden terbaik hingga saat ini, mulai dari presiden RI 1 hingga presiden RI 7,, kalau Amin Raiso, menilai presiden terburuk itu pikiran si Amin yg buruk,,,",presiden baik ini presiden ri presiden ri raiso nilai presiden terburuk itu pikir si buruk
Yg begini gak pantas menjadi toko agama.,toko agama
"Amin Rais adalah orang yang paling jahat di negeri ini, kamu adalah pengacau di negeri ini, kamu yang plonga plongo.tidak punya fungsi.",orang jahat negeri ini kamu acau negeri ini kamu bingung bingung fungsi
Orang gila sedang ngoceh tolong di masukkan rumah sakit jiwa biar sembuh,orang gila ngoceh tolong masuk rumah sakit jiwa biar sembuh
Mbah wes tuwek mending banyak2.baca sahadat.timbang ngomongin orang..yg gak jelas.,kakek tua mending baca sahadat timbang ngomongin orang
"Pak,, udah tua tobat ngpa, jangan nambah nambah dosa.. Sakit hati sampean nambahin dosane sampean pak..",udah tua taubat ngpa nambah nambah dosa sakit hati kamu nambahin dosane kamu
amin rais bisanya cuma merendahkan dan memfitnah yg dibungkus dengan mengkritik coba apa kontribusinya pada negara ini.,bisa merendahkan memfitnah bungkus kritik coba kontribusi negara ini
"Koar2 dalam kebaikan mbah,biar gak diketawain generasi muda.",koar baik kakek biar diketawain generasi muda
Beginikah demokrasi yg sht...kenapa manusia sprt ini ttp d peliharaa..smg cpt d br hidayah.. ODGJ Amiin Rakus,demokrasi sht manusia sprt ini ttp pelihara smg cpt br hidayah gila serakah
"Aminrais orang buruk pembenci PK Jokowi yg sdh berjasa bagi Indonesia,stinya sdh busuk dan sakit hati",aminrais orang buruk benci jasa indonesia stinya busuk sakit hati
Ooalah min amin arepe mati wae cangkeme kok koyo tai cangkemu Kuwi kowo tempike lonte,oalah min arepe mati mulut tai mulut kuwi kowo tempike lonte
Begini kwalitas bpk reformasi kturunan yaman.. nulutnya busukk,kwalitas reformasi kturunan yaman nulutnya busuk
terburuk dapurmu min,terburuk dapur min
Kau yg buruk,kau buruk
"Pake peci seskan ingin di lihat orang alim tapi prilakunya tidak mencerminkan.<br>Ingat rakyat sudah cerdas.apakah dia tidak tau omongan nya kalau tidak ada pakta kebenaran itu sama ajah membuat <a href=""http://pitnah.pa/"">pitnah.pa</a> Jokowi jadi presiden dua kali di pilih oleh rakyat",pake peci seskan lihat orang alim prilakunya cermin rakyat cerdas dia omong nya pakta benar itu ajah pitnah presiden kali pilih rakyat
wes tuwek ... sek fitnah..rendahkan orang..olok olok orang...sadar wek tuwek wes meh modar,tua sek fitnah rendah orang olok olok orang sadar wek tua meh tinggal
Anda yg terboh pak .. kasian turunanmu.,terboh kasi turun
Enek uwong yo koyo ngono mugo paringi <br>Toubat,enek uwong iya ngono mugo paring toubat
Loe yg racun Negara cuk.. sampah.. gelandangan..😅😅😅😂😂😂,loe racun negara cuk sampah gelandangan
Amin rais org tak berguna<br>Org tua ga tau diri,orang guna orang tua
"apa yg di katakan amin rais memang betul 100%, tapi.. tapi ... tapi.... itu menunjukkan wujud asli amin rais apa yg di sebutkan jati dirinya memang seperti itu sifatnya amin rais, sudah tua n adap n etika ya di pakai jgn asal nyeplas nyeplos ngomongnya, kaya si mulutnya panci",itu wujud asli sebut jati itu sifat tua adap etika ya pakai nyeplas nyeplos ngomongnya kaya si mulut panci
"mbh amin mbh amin,,udah tua mbok ya dijaga omongan nya,percuma mbh nek mu ngibadah,,sadar mbh sadar,,senh ndue bpk ngeneki opo yo ra isin jal",kakek kakek udah tua ya jaga omong nya kakek nek kamu ngibadah sadar kakek sadar senh ndue ngeneki iya isin jal
Orang tak beriman.begini.kalok ngomong.tak sesuai.dengan.penampilan nya.dulu suharto.dilengserkan nya.sekara Jokowi lagi.,orang iman kalok ngomong sesuai tampil nya suharto lengser nya kara
"MBah gek TOBAT inget Umur sudah uzur, Joko Widodo top PRESIDEN tehebat sng Berani MEMBANGUN Seluruh NUSANTARA dgn standarisasi Nasional, yg plonga plongo itu Mbah Amin Rais",kakek gek taubat umur uzur widodo top presiden tehebat sng berani bangun nusantara standar nasional bingung bingung itu kakek
Omong tai ris ris,omong tai ris ris
Am** R*** Ini lah sosok warga negara TERBURUK.....,am r ini sosok warga negara terburuk
Jadi orang ko suka ngejelekin apakah mbah Amin ini paling baik tooo😂😂,orang suka ngejelekin kakek ini
"La kamu apa amin Rais gk jdi apa apa juga ingat waktu pelantikan prabowo datang juga mbah amin plonga plongo gk ada teman kanan kirinya, gk di anggap saama orang orang penting krna amin Rais lebih bodoh dari jokowi",la kamu lantik kakek bingung bingung teman kanan kiri angap orang orang krna bodoh
Iki sopo to 😂😂😂,ini sopo
Astaufirlhohalazim..ingat pak amin..kamu sudah tua..<br>Belum puas menghina gusdur..sekarang menghina pk jokiwi...sy masyarakat biasa merinding dengernya...,astaufirlhohalazim kamu tua puas menghina menghina jokiwi masyarakat merinding dengernya
Mbah Mbah... Sudah di ujung umur lisan mu tajam dan kotor...,kakek kakek ujung umur lisan kamu tajam kotor
