original_text,processed_text,cyberbullying_score,cyberbullying_word_count,label
"Sengkuni... Jika sengkuni amin rais tewas dikemudian hari, dan berani bersaksi atas keburukan dan fitnah2an yang dia lakukan. Berikan jempolmu kawan..",licik licik tewas kemudi berani saksi keburukan fitnah dia laku jempol kawan,5.0,2,2
Min mamin.<br>Ingat usia,min mamin usia,0.0,0,0
Pk jokowi presiden terbaik mbah semgkuni,presiden baik kakek semgkuni,0.0,0,0
"Mbah, mbah dh tua bukanya mendekatkan diri sm yg maha kuasa kok malah jd sengkuni yg suka provokasi, menghina sesama. Katanya mo jln kaki pakai teklek sampai jakarta, mana janjimu mbahhh",kakek kakek dh tua buka dekat maha kuasa licik suka provokasi menghina mo jln kaki pakai teklek jakarta janji kakek,4.5,2,2
Dan manusia lansia dengan otak tolol dan nurani paling busuk.....adalah amin rais,manusia lansia otak tolol nurani busuk,7.0,2,2
"Hebat Amin Rais,, menghibur,, tepat sasaran",hebat hibur sasar,0.0,0,0
Cocot kencono..,cocot kencono,0.0,0,0
Lebih buruk kakang plosojenar ( Mbah Rais),buruk kakang plosojenar kakek,3.0,1,1
Gelandangan ploitik,gelandangan ploitik,0.0,0,0
Buruk itu kan yang ngomong kamu bagi rakyat yang normal Jokowi presiden paling sukses soalnya hatimu penuh kebencian. Dasar Sengkuni.,buruk itu ngomong kamu rakyat normal presiden sukses hati penuh benci dasar licik,8.5,3,3
ORANG TUA YANG PENUH DOSA INI PUNYA POLA PIKIR TERBALIK... YANG BAIK DIKATAKAN BURUK DAN YANG BURUK DIKATAKAN BAIK... ITULAH IBLIS.,orang tua penuh dosa ini pola pikir balik buruk buruk iblis,11.0,4,3
Tobat lah kau amin dah maumatipun masih mempetnah orang aja,taubat kau maumatipun mempetnah orang aja,0.0,0,0
"Kok masih gk sadar, dengan diri sendiri,,",sadar,0.0,0,0
"Ini baru calon pemimpin tapi bukan  untuk rakyat,  terus tuk siapa",ini calon pimpin rakyat tuk,0.0,0,0
Pengemis lg komen .. dia prestasinya apa ya...wkwkwkwk...ngemis aja banyak omong...,pengemis komen dia prestasi ya wkwkwkwk ngemis aja omong,2.5,1,1
"Sudah bau tanah,mulutnya blm tobat juga si tua bangka amin rasis ini,,naudzubillah",bau tanah mulut taubat si tua bangka ras ini naudzubilah,6.0,3,2
Amin Rais orang yang tolol dan dunggu itu fakta dan data nya dan GK laku Dimata rakyat si amin anjing,orang tolol dungu itu fakta data nya laku mata rakyat si anjing,11.5,3,3
"Terburuk tapi presiden, amin apa pernah jadi presiden",terburuk presiden presiden,0.0,0,0
Kau yg terburuk amin rais omonganmu seoerti saytan penghasit tu tua kok omongannya nggak benar,kau terburuk omong seoerti saytan penghasit itu tua omong,2.0,1,1
"Kapolri tangkap segera Amin Rais yg sdh menghina, mefitnah, menyerang, merendahkan,menyebarkan kebencian dan hoax",kapolri tangkap menghina mefitnah menyerang merendahkan sebar benci hoax,8.0,2,2
Amin bukannya insaf malah tambh hilang akal,insaf tambh hilang akal,0.0,0,0
Sengkuni!!!,licik,2.5,1,1
Yang toxic antum..,toxic antum,0.0,0,0
"Orang sudah pikun kok disuruh pidato. Ngomongnya SDH TDK ada Toto kromo sama sekali. Dasar SENGKUNI,",orang lupa suruh pidato ngomongnya toto kromo sekali dasar licik,2.5,1,1
Iblis berujut manusia siapa itu jawabnya Mat Rais,iblis berujut manusia itu mat,3.0,1,1
"Kamu Min,org tua bodoh,provokator,dobol.Kl msh sholat,kamu bicaranya ga penuh kebencian. Ilmu agamamu sdh hilang po Mien n skrg jd Iblis.",kamu min orang tua bodoh provokator dobol kl sholat kamu bicara penuh benci ilmu agama hilang po mien skrg iblis,12.0,4,3
"Nafasnya mbh rais tersengal sengal ky sakaratul maut,dh bau tanah gk tobat&quot;",nafas kakek sengal sengal ky sakaratul maut dh bau tanah taubat kutip,2.0,1,1
Kaya tokoh pewayangan inimah,kaya tokoh wayang inimah,0.0,0,0
"Orang udah tua kok ngga memberikan contoh baik, kok malah jadi setan begini ya ?",orang udah tua contoh setan ya,5.0,2,2
"Garek matine , kakean omong",garek matine kakean omong,0.0,0,0
"Masih ingat, ketika Gus Dur lengser, aki aki Amin Rais lah yg menjadi dalang utama di balik lengsernya presiden Gus Dur,,,,,!!!!<br><br>intinya sekarang anda hanyalah sampah politik yg bisanya cuma koar koar",lengser kakek kakek dalang utama lengser presiden inti sampah politik bisa koar koar,0.0,0,0
Walaupun orng tdk bisa bekerja tp tdk juga bicara atu merendahkan &amp; menghina orng di depan umum islam tdk mengajarkan menghina merendahkan orng sekalipun ke musuhny naudzubillah ini amin rais tdk paham agama islan tdk tau adab,orng bicara atu merendahkan menghina orng ajar menghina merendahkan orng musuhny naudzubilah ini paham agama islan adab,0.0,0,0
Yang terburuk bahkan terburuk adl dirimu min Amin Rais....,terburuk terburuk adl kamu min,0.0,0,0
Semoga kakek ini cepat masuk baju Shopee 😂,moga kakek ini cepat masuk baju shope,0.0,0,0
Lu yg terburuk amin manusia percobaan lu ga disukai rakyat Indonesia kmu rais amin lutuh manusia percobaan yg ga punya adab sia monyet yg planga plongo,kamu terburuk manusia coban kamu suka rakyat indonesia kamu lutuh manusia coban adab sia monyet planga bingung,3.5,1,2
Hai bebengok rais amin sinau tanah ulu udah tinggal modarnya gamau insap kmu org biadab lutuh udah tinggal modarnya anjing,hai bebengok sinau tanah ulu udah tinggal modar gamau insap kamu orang biadab lutuh udah tinggal modar anjing,16.5,4,3
Ngomong tok Sengkuni ki krng ajar,ngomong tok licik ini krng ajar,2.5,1,1
Mbah AMIN koclok bin anjing amin .,kakek koclok anjing,3.5,1,2
"Kamu ini anggota apa min min,bener memang KLO di kata politik glandangan,ada pelantikan gak di undang aja dattang sendiri dan tak ada yang menyapa apa gak malu itu min min",kamu ini anggota min min politik gelandangan lantik undang aja sapa malu itu min min,0.0,0,0
Sengkuni 😅😅,licik,2.5,1,1
Sama kamu ketua MRP yg mengguna<br>Kan jabatan otoriter maksulkan Gus Dur dari jabatan x.pada hal anda sendirilah meminta x jadi presiden...<br>Bukan kah itu menghina Gus Dur..dan<br> Ingin di jadikan batu loncatan untuk<br>Menggapai jabatan dgn jln TDK halal.😅😅😅,kamu ketua mrp menguna jabat otoriter maksulkan jabat x sendiri x presiden kah itu menghina jadi batu loncat kapai jabat jln halal,0.0,0,0
Amin rais. Manusia bermoral terburuk yg dimiliki Indonesia.,manusia moral terburuk milik indonesia,0.0,0,0
Segera pakai baju Baru Oren,pakai baju oren,0.0,0,0
"Orang yg berilmu n beragama tdk akan keluar kata² toxic sep itu, apalagi dia sdh sepuh...jadi siapa yg toxic disini",orang beril agama toxic sep itu dia tua toxic,2.0,1,1
Cocote rusak,cocote rusak,0.0,0,0
Jika orang yang tak di senangi selalu di cemooh lalu gmn dia sendiri dng keluarganya coba di koreksi apa patut di buat suri tauladan oleh di sekitar masyarakat,orang senang cemoh gmn dia dng keluarga coba koreksi patut suri tauladan masyarakat,0.0,0,0
SDH mau mampus rais.. seperti setan jin kelakuannya.. inilah setan badan manusia yg sesungguhnya,mampus setan jin laku ini setan badan manusia sungguh,11.0,3,3
Ke habisan obat lagi ni si amin dah mulai kambuh lagi dah mulai ngelantur,habis obat ini si kambuh ngelantur,0.0,0,0
sudah tua .... mulutnya kotor... 😂,tua mulut kotor,4.0,2,2
Ente yang tengngilmah bah..<br>Cicing w ATH ges kolot mah..,ente tengngilmah bah cicing w ath ges kolot mah,0.0,0,0
Tak sadar diri udah tua masih aja menghina org,sadar udah tua aja menghina orang,2.0,1,1
"Uda tua min, sadar !",tua min sadar,2.0,1,1
Sengkuni blm game over juga dari muka bumi ini,licik game over muka bumi ini,2.5,1,1
Terburuk matamu itu,terburuk mata itu,0.0,0,0
Amin Rais manusia terburuk yg perna ada dan masih hidup di Indonesia... <br>Dan tetap belooh...on,manusia terburuk perna hidup indonesia beloh on,0.0,0,0
Sudah bauh tanah masih saja buat dosa ini manusia,bauh tanah dosa ini manusia,0.0,0,0
Nadarmu dilaksanakan dulu mbah..jalan kaki engklek dari jogya ke jakarta....baru ngomong lainya...,nadarmu laksana kakek jalan kaki engklek jogya jakarta ngomong lai,0.0,0,0
Kamu lebih buruk mulut mu bau busuk,kamu buruk mulut kamu bau busuk,8.0,3,2
Cocot2 soac dasar seng kuni,cocot soac dasar kuni,0.0,0,0
Amin rakus wes bener bener EDAN,serakah gila,4.0,1,2
Setuju adili Jokowi turunkan Gibran,tuju adil turun gibran,0.0,0,0
Kayak si cewek,kayak si cewek,0.0,0,0
Asu sek urip ae wedus,anjing sek urip aja wedus,3.5,1,2
Ini di RSJ mana ?,ini rsj,0.0,0,0
😂😂😂 memang marah sekali dia sama Jokowi 😂😂😂 Amin jadi gelandangan politik 😂😂😂,marah sekali dia gelandangan politik,0.0,0,0
seng pinter sampean yo ra di pilih rakyatnya,pintar kamu iya pilih rakyat,0.0,0,0
Emang kamu ga menghina,emang kamu menghina,0.0,0,0
"Amin amin,sampai tua kerjaan menghina orang",tua kerja menghina orang,2.0,1,1
Amin Rais itu adalah orang indonesia yg terburuk,itu orang indonesia terburuk,0.0,0,0
Ngaca dulu baru ngomong,kaca ngomong,0.0,0,0
Yg terburuk itu kamu Amin Rais 🤮,terburuk itu kamu,0.0,0,0
Indonesia ini sudah hancur  mending merdeka sendiri sendiri klo negara GK bisa tangkap amin rais ini .,indonesia ini hancur mending merdeka negara tangkap ini,10.0,2,3
"Sudah tua seharusnya mempersiapkan diri menghadap Tuhan, bukan mengotori hati,, aduuh sadar pa",tua hadap tuhan kotor hati aduh sadar,4.0,2,2
Kelihatan sekali editan nya kasar.  Aslinya bukan Amin .,sekali edit nya kasar asli,0.0,0,0
Kog gk di masukan bui sekalian aja tu orang,kog masuk bui aja itu orang,0.0,0,0
"Pak Amin Rais baca ayat alquran yg mangatakan :Jangan kamu menjelek2an orang lain, boleh jadi kamu lebih jelek dari orang itu sendiri, kita ulama besar tapi mulut busuk",baca ayat alquran mangatakan kamu jelek orang kamu jelek orang itu ulama mulut busuk,7.0,3,2
mukanya saja mirip syeton,muka syeton,0.0,0,0
Sakno wong muhammadiyah,sakno orang muhammadiyah,0.0,0,0
Kakek sdh tua menunggu waktu sudah mau masuk ke Liang lahat  bicaranya sembarangan,kakek tua tunggu masuk liang lahat bicara sembarang,2.0,1,1
"<b>****CAMKEMMU MIM SOKOR MANGAP WAE, MINUM OBAT DULU MIN AMIN HAHAHAHA****</b>",b camkemu mim sokor mangap minum obat min hahahaha b,0.0,0,0
Amin Rais gelandangan pantat bau politik,gelandangan pantat bau politik,2.0,1,1
Makanya amin rais tidak terpilih jadi presiden karena manusia terburuk,pilih presiden manusia terburuk,0.0,0,0
"Ketua Partai yg buruk,bodoh,tolol,stresss ., amin",ketua partai buruk bodoh tolol stres,11.0,3,3
Amin rais goblok,goblok,4.0,1,2
Kamu mnilai org seenak jidatnya skrg q mnilai km sbg mantan ketua MPR yg di duga pling bodoh n g pnya etika n adab,kamu mnilai orang senak jidat skrg q mnilai kamu sbg mantan ketua duga pling bodoh pnya etika adab,4.0,1,2
"Omong orang, bodok lalu apa kau pak amin",omong orang bodok kau,0.0,0,0
Mbah yg paling jelek kelakuanmu,kakek jelek laku,2.0,1,1
Orang gemblung ya gini... 😂,orang gemblung ya,0.0,0,0
Kalau di lihat agamanya ada tapi aklaknya senang kebencian adu domba hobinya,lihat agama aklaknya senang benci adu domba hobi,3.0,1,1
sukanya buat onar dari dulu,suka onar,0.0,0,0
Lucuu,lucu,0.0,0,0
Amin rais orang gila orang stress termasuk para pengikutnya 😂😂😂,orang gila orang stres ikut,4.0,1,2
Sudah Pikun .... kata orang Melayu ... Nyanyok ...,lupa orang melayu nyanyok,0.0,0,0
Percaya pak amin,percaya,0.0,0,0
Amin sengkuni gelandangan politik,licik gelandangan politik,2.5,1,1
Wong edan..,orang gila,4.0,1,2
"Kakek Tua bebek lumpuh, terima kasih Gus Dur sdh meramal si bebek lumpuh ini akan menjadi gelandangan politik, dan sekarang sudah terbukti 😂😂",kakek tua bebek lumpuh terima kasih ramal si bebek lumpuh ini gelandangan politik bukti,2.0,1,1
"Astaghfirullah... sampeyan ulama, Pak Amin...",astaghfirullah sampeyan ulama,0.0,0,0
Mbah ingat sama umur...,kakek umur,0.0,0,0
Tua Bangka tak tahu diri,tua bangka,4.0,2,2
"Udah tua masih saja bacot,,,,",udah tua bacot,2.0,1,1
Sengkuni kumat sengkuni kumat ed.....e😅😅😅,licik kumat licik kumat ed,5.0,2,2
GELANDANGAN POLITIK INI PENDUSTA,gelandangan politik ini dusta,0.0,0,0
Mbah min...Mbah min..sudahlah masyarakat NKRI sdh tdk LG yg mau denger omongan sampeyan.,kakek min kakek min masyarakat nkri denger omong sampeyan,0.0,0,0
Min min wes pikun kowe Ki titel mu profesor tapi goblok,min min lupa kamu ini titel kamu profesor goblok,4.0,1,2
Amin Rais mulut nya kaya comberan,mulut nya kaya comberan,0.0,0,0
Kapolri mn... Ini manusia harus di penjarakan.... Biar kapok,kapolri mn ini manusia penjara biar kapok,0.0,0,0
"Kakek calon neraka,hanya dengki dlm hatimu tak ada keimanan,Masya allah",kakek calon neraka dengki dlm hati iman masya,3.0,1,1
Mbah ws tuwek buat dosa terus,kakek ws tua dosa,2.0,1,1
Stress,stres,0.0,0,0
Kalo terjelek gk akan 2 periode😂😂😂,terjelek periode,0.0,0,0
Matine koe ki koli di leboni lahar kro malaikat..ws mambu lemah kok heboh..sengkuni indonesia,matine kamu ini koli leboni lahar kro malaikat ws mambu lemah heboh licik indonesia,2.5,1,1
Yg tengil kamu mbah,menyebalkan kamu kakek,4.0,1,2
Amin rais sdh pikun 😂😂,lupa,0.0,0,0
Omdo,omdo,0.0,0,0
"Si tua bangka Amin Rais ini harus dimasukkan ke sekolah barak KDM. Jika tidak mau, maka si Tua ini akan menyusul Roy Panci ke penjara",si tua bangka ini masuk sekolah barak kdm si tua ini susul roy panci penjara,6.0,3,2
"Kalau dah gini jadi kangen masa masa pak harto , ada repelita, ada pelita, ada guidence nya, sehingga pembangunan terarah dan most of all good lah.",kangen harto repelita pelita guidence nya bangun arah most of al god,0.0,0,0
Sampah lu min !,sampah kamu min,0.0,0,0
Amin rakus kapan kmu kena karma,serakah kamu kena karma,0.0,0,0
Uda tua....pak...inget bpk da bau tanah...,tua da bau tanah,4.0,2,2
<b>SAYA YO NDAK TAUUU</b>,b iya ndak b,0.0,0,0
Anda jg Mbah Amin adalah ketua MPR terburuk waktu anda menjabat.Memalukan .Anda sendiri kaya sekuni.,kakek ketua terburuk jabat memalukan kaya sekuni,0.0,0,0
"Manusia tak tahu diri.hidup ngungsi,pingin berkuasa dipengungsian.apa daya,mulut busuk hati busuk.penggemarnya lebih busuk dan seburuk buruknya manusia",manusia hidup ngungsi pingin kuasa ungsi daya mulut busuk hati busuk mar busuk buruk buruk manusia,15.0,5,3
Mantap..,mantap,0.0,0,0
Amin rais sampah...,sampah,0.0,0,0
Apa gak ingat mati ya ini orang.? Masih mengejar duniawi saja..istigfar kake😂,mati ya ini orang kejar duniawi kake,5.0,1,2
"Congormu bosok amin asu,lambe asu keturunan babi ngepet.",congor bosok anjing lambe anjing turun babi ngepet,10.5,3,3
Mendingan urus diri kau Min sudah tua bangke. Apa yang sudah kau berikan ke NKRI ini. kau hanya bikin kisru aja di negeri ini.,mending urus kau min tua bangke kau nkri ini kau bikin kisru aja negeri ini,5.5,2,2
Amiin gila klp hti takbir2di jalan jd gelandangan kirik2,gila klp hti takbirdi jalan gelandangan kirik,4.0,1,2
Amin raib nek Iki udu rais.,raib nek ini udu,0.0,0,0
Amin rais kepintaran kamu bisanya ghibah terus,pintar kamu bisa ghibah,0.0,0,0
Apakah amiin rais yang terbaik se Indonesia,baik indonesia,0.0,0,0
Orang dak berguna. Ngomongnya kaya anjing menggonggong.,orang dak guna ngomongnya kaya anjing gonggong,3.5,1,2
Coba kalau ketemu dijalan saya tempeleng Amin Rais ini,coba ketemu jalan tempeleng ini,0.0,0,0
MARI KITA DOA KAN SEMOGA EMBAH AMIN RAIS INSYAF...SEBELUM...DI JEMPUT...MALAIKAT...PENCABUT...NYAWA...KASIHAN...SUDAH..TUA...BELUM SADAR...😂,mari doa moga embah insyaf jemput malaikat cabut nyawa kasihan tua sadar,2.0,1,1
"Sesungguhnya orang-orang yg meremehkan dan merendahkan orang lain, dialah sesungguhnya yg akan direndahkan. <br>Karena rasulpun mengajarkan Hisablah dirimu sebelum kau menghisab orang lain",sungguh orang orang remeh merendahkan orang sungguh rendah rasul ajar hisab kamu kau hisab orang,0.0,0,0
"Gkusah mbacot mcm2, janji jalan kaki Jogja Jakarta klo perlu sambil engklek dijalani dulu !!!",gkusah mbacot mcm janji jalan kaki jogja jakarta engklek jalan,0.0,0,0
ENDHASMU ASU RAIS BAJINGAN SENGKUNI KERAK NERAKA TEMPATMU SU ASU !!!!😂😂😂😂🎉🎉,endhasmu anjing bajing licik kerak neraka tempat su anjing,12.5,4,3
"Hehehe kasian pak amin Rais ini g bisa jd presiden bisanya menghina tok, bener sekali omongan Gus dur",hehehe kasi ini presiden bisa menghina tok sekali omong,0.0,0,0
Malu saya nonton tayangan ini...orang yang sudah sepuh tetapi jauh dari kata bijak.,malu nonton tayang ini orang tua bijak,2.0,1,1
SENGKUNI,licik,2.5,1,1
Terburuk menurut org2 dungu....,terburuk orang dungu,4.0,1,2
Sangat jahat orang ini..ga inget umurnya tinggal berapa tahun lagi..seharusnya inget berbuat baik lah..ahkaknya di pake..seperti odgj<br>Ini orang harus di tangkap..jangan dinkasih kesempatan lagi pak polisi,sangat jahat orang ini umur tinggal buat ahkaknya pake gila ini orang tangkap dinkasih sempat polisi,12.0,3,3
wahhh...kerennnnnn.....kapan mati Mbah......,keren mati kakek,5.0,1,2
AMIN RAIS ITU ODGJ TERBURUK TERKOPLAK KOPLO OTAK NYA DI NKRI,itu gila terburuk terkoplak koplo otak nya nkri,4.0,1,2
Udah tua inget mati Mbah bukannya menghina orang terus susah mati tau rasa,udah tua mati kakek menghina orang susah mati,12.0,3,3
"Kedeng dei ge modar ie jelema lamun te struk dorna tukang hasut si mata belo mata orang licik,musuh gusdur si penipu tukang fitnah",kedeng dei ge tinggal ie jelema lamun te struk dorna tukang hasut si mata belo mata orang licik musuh si tipu tukang fitnah,2.5,1,1
Terdungu,dungu,4.0,1,2
"Licik, tikus tua",licik tikus tua,4.5,2,2
"Amin rais, kau  lah  manusia terburuk di Indonesia. Bukan Pak Jokowi.",kau manusia terburuk indonesia,0.0,0,0
Preepreeèeet,prepre et,0.0,0,0
Aku bersaksi Amiin rais adalah orang tua yg terjahat dengan mulutnya yg bentar lagi koit,aku saksi orang tua terjahat mulut bentar koit,2.0,1,1
Aminpret,aminpret,0.0,0,0
Amin rais.bapa pengemis politik,bapa pengemis politik,2.5,1,1
Toban wes tua min,toban tua min,2.0,1,1
aki&quot; idiot....,kakek kutip idiot,4.0,1,2
Padahal orang ini mantan petinggi muhammadiyah lo...,orang ini mantan tingi muhammadiyah kamu,0.0,0,0
mBah Amin... Sebagai orang berAgama.... Apakah boleh menghina sesama umat seperti itu.?  Apakah untuk memuaskan Nafsu kebencian Mu. ?? 😢,kakek orang agama menghina umat itu muas nafsu benci kamu,3.0,1,1
Amin Rais adalah PENIPU,tipu,0.0,0,0
"P. Jokowi Presiden terbaik hingga saat ini, mulai dari presiden RI 1 hingga presiden RI 7,, kalau Amin Raiso, menilai presiden terburuk itu pikiran si Amin yg buruk,,,",presiden baik ini presiden ri presiden ri raiso nilai presiden terburuk itu pikir si buruk,3.0,1,1
Yg begini gak pantas menjadi toko agama.,toko agama,0.0,0,0
"Amin Rais adalah orang yang paling jahat di negeri ini, kamu adalah pengacau di negeri ini, kamu yang plonga plongo.tidak punya fungsi.",orang jahat negeri ini kamu acau negeri ini kamu bingung bingung fungsi,3.0,1,1
Orang gila sedang ngoceh tolong di masukkan rumah sakit jiwa biar sembuh,orang gila ngoceh tolong masuk rumah sakit jiwa biar sembuh,4.0,1,2
Mbah wes tuwek mending banyak2.baca sahadat.timbang ngomongin orang..yg gak jelas.,kakek tua mending baca sahadat timbang ngomongin orang,2.0,1,1
"Pak,, udah tua tobat ngpa, jangan nambah nambah dosa.. Sakit hati sampean nambahin dosane sampean pak..",udah tua taubat ngpa nambah nambah dosa sakit hati kamu nambahin dosane kamu,2.0,1,1
amin rais bisanya cuma merendahkan dan memfitnah yg dibungkus dengan mengkritik coba apa kontribusinya pada negara ini.,bisa merendahkan memfitnah bungkus kritik coba kontribusi negara ini,0.0,0,0
"Koar2 dalam kebaikan mbah,biar gak diketawain generasi muda.",koar baik kakek biar diketawain generasi muda,0.0,0,0
